"mood","language","playlist","quote","bg_from","bg_mid","bg_to"
"happy","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWTwbZHrJRIgD","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"happy","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DXcBWIGoYBM5M","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"happy","marathi","https://open.spotify.com/embed/playlist/43Gmrw5sW2fS4UDeLdBrbR","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"happy","tamil","https://open.spotify.com/embed/playlist/37i9dQZF1DX2x1COalpsUi","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"happy","kannada","https://open.spotify.com/embed/playlist/5TvOfluLFudXPAzrc5f0UP","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"happy","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DWVBB5D9kpEQ9","Life is short — dance it out 🌻","#f59e0b","#fb923c","#f97316"
"sad","bollywood","https://open.spotify.com/embed/playlist/4C34CZdaGedDSVEJ4fyqmd","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"sad","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX7qK8ma5wgG1","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"sad","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"sad","tamil","https://open.spotify.com/embed/playlist/3PN1BIrduzlZOcXXVSBf83","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"sad","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"sad","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Sometimes the rain inside feels heavier 💧","#1e3a5f","#1e40af","#1d4ed8"
"chill","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWX76Z8XDsZzF","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
